id,name,link,abbreviation,teamName,locationName,firstYearOfPlay,shortName,officialSiteUrl,franchiseId,active,venueName,venueLink,venueCity,venueTimeZoneId,venueTimeZoneOffset,venueTimeZoneTz,divisionId,divisionName,divisionLink,conferenceId,conferenceName,conferenceLink,franchiseFranchiseId,franchiseTeamName,franchiseLink,venueId,season,divisionNameShort,divisionAbbreviation
27,Phoenix Coyotes,/api/v1/teams/27,PHX,Coyotes,Phoenix,1996,Phoenix,http://www.arizonacoyotes.com/,28,False,Jobing.com Arena,/api/v1/venues/null,Glendale,America/Phoenix,-7,MST,6,Pacific,/api/v1/divisions/6,2,Western,/api/v1/conferences/2,28,Coyotes,/api/v1/franchises/28,,20102011,,
28,San Jose Sharks,/api/v1/teams/28,SJS,Sharks,San Jose,1991,San Jose,http://www.sjsharks.com/,29,True,SAP Center at San Jose,/api/v1/venues/null,San Jose,America/Los_Angeles,-8,PST,6,Pacific,/api/v1/divisions/6,2,Western,/api/v1/conferences/2,29,Sharks,/api/v1/franchises/29,,20102011,,
29,Columbus Blue Jackets,/api/v1/teams/29,CBJ,Blue Jackets,Columbus,2000,Columbus,http://www.bluejackets.com/,36,True,Nationwide Arena,/api/v1/venues/5059,Columbus,America/New_York,-5,EST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,36,Blue Jackets,/api/v1/franchises/36,5059.0,20102011,,
30,Minnesota Wild,/api/v1/teams/30,MIN,Wild,Minnesota,2000,Minnesota,http://www.wild.com/,37,True,Xcel Energy Center,/api/v1/venues/5098,St. Paul,America/Chicago,-6,CST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,37,Wild,/api/v1/franchises/37,5098.0,20102011,,
1,New Jersey Devils,/api/v1/teams/1,NJD,Devils,New Jersey,1982,New Jersey,http://www.newjerseydevils.com/,23,True,Prudential Center,/api/v1/venues/null,Newark,America/New_York,-5,EST,1,Atlantic,/api/v1/divisions/1,1,Eastern,/api/v1/conferences/1,23,Devils,/api/v1/franchises/23,,20112012,,
2,New York Islanders,/api/v1/teams/2,NYI,Islanders,New York,1972,NY Islanders,http://www.newyorkislanders.com/,22,True,UBS Arena,/api/v1/venues/null,Elmont,America/New_York,-5,EST,1,Atlantic,/api/v1/divisions/1,1,Eastern,/api/v1/conferences/1,22,Islanders,/api/v1/franchises/22,,20112012,,
3,New York Rangers,/api/v1/teams/3,NYR,Rangers,New York,1926,NY Rangers,http://www.newyorkrangers.com/,10,True,Madison Square Garden,/api/v1/venues/5054,New York,America/New_York,-5,EST,1,Atlantic,/api/v1/divisions/1,1,Eastern,/api/v1/conferences/1,10,Rangers,/api/v1/franchises/10,5054.0,20112012,,
4,Philadelphia Flyers,/api/v1/teams/4,PHI,Flyers,Philadelphia,1967,Philadelphia,http://www.philadelphiaflyers.com/,16,True,Wells Fargo Center,/api/v1/venues/5096,Philadelphia,America/New_York,-5,EST,1,Atlantic,/api/v1/divisions/1,1,Eastern,/api/v1/conferences/1,16,Flyers,/api/v1/franchises/16,5096.0,20112012,,
5,Pittsburgh Penguins,/api/v1/teams/5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,True,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-5,EST,1,Atlantic,/api/v1/divisions/1,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,5034.0,20112012,,
6,Boston Bruins,/api/v1/teams/6,BOS,Bruins,Boston,1924,Boston,http://www.bostonbruins.com/,6,True,TD Garden,/api/v1/venues/5085,Boston,America/New_York,-5,EST,2,Northeast,/api/v1/divisions/2,1,Eastern,/api/v1/conferences/1,6,Bruins,/api/v1/franchises/6,5085.0,20112012,,
